Month,aaa,bbb,ccc,ddd,Liquefied Imports,Exports,Imports,Liquefied Exports
May 2017,5,254,244,61,0.166666667,8.466666667,8.133333333,2.033333333
Apr 2017,5,247,238,51,0.166666667,8.233333333,7.933333333,1.7
Mar 2017,5,272,281,44,0.166666667,9.066666667,9.366666667,1.466666667
Feb 2017,8,255,255,52,0.266666667,8.5,8.5,1.733333333
Jan 2017,13,272,290,51,0.433333333,9.066666667,9.666666667,1.7
Dec 2016,9,251,281,42,0.3,8.366666667,9.366666667,1.4
Nov 2016,9,228,231,33,0.3,7.6,7.7,1.1
Oct 2016,6,176,231,3,0.2,5.866666667,7.7,0.1
Sep 2016,3,202,238,17,0.1,6.733333333,7.933333333,0.566666667
Aug 2016,8,214,262,27,0.266666667,7.133333333,8.733333333,0.9
Jul 2016,6,189,265,16,0.2,6.3,8.833333333,0.533333333
Jun 2016,8,183,242,16,0.266666667,6.1,8.066666667,0.533333333
May 2016,5,188,248,10,0.166666667,6.266666667,8.266666667,0.333333333
Apr 2016,5,178,241,10,0.166666667,5.933333333,8.033333333,0.333333333
Mar 2016,9,195,241,10,0.3,6.5,8.033333333,0.333333333
Feb 2016,10,163,252,3,0.333333333,5.433333333,8.4,0.1
Jan 2016,12,169,274,,0.4,5.633333333,9.133333333,0
Dec 2015,6,162,227,3,0.2,5.4,7.566666667,0.1
Nov 2015,8,156,218,3,0.266666667,5.2,7.266666667,0.1
Oct 2015,9,159,226,3,0.3,5.3,7.533333333,0.1
Sep 2015,6,163,209,3,0.2,5.433333333,6.966666667,0.1
Aug 2015,11,145,214,3,0.366666667,4.833333333,7.133333333,0.1
Jul 2015,7,144,217,3,0.233333333,4.8,7.233333333,0.1
Jun 2015,3,138,206,3,0.1,4.6,6.866666667,0.1
May 2015,2,134,204,3,0.066666667,4.466666667,6.8,0.1
Apr 2015,3,130,205,,0.1,4.333333333,6.833333333,0
Mar 2015,15,164,257,,0.5,5.466666667,8.566666667,0
Feb 2015,12,145,254,3,0.4,4.833333333,8.466666667,0.1
Jan 2015,12,145,279,3,0.4,4.833333333,9.3,0.1
Dec 2014,8,137,254,,0.266666667,4.566666667,8.466666667,0
Nov 2014,,121,227,,0,4.033333333,7.566666667,0
Oct 2014,7,115,221,3,0.233333333,3.833333333,7.366666667,0.1
Sep 2014,6,120,202,3,0.2,4,6.733333333,0.1
Aug 2014,2,115,207,3,0.066666667,3.833333333,6.9,0.1
Jul 2014,6,127,201,3,0.2,4.233333333,6.7,0.1
Jun 2014,10,120,202,,0.333333333,4,6.733333333,0
May 2014,3,114,207,2,0.1,3.8,6.9,0.066666667
Apr 2014,3,122,201,,0.1,4.066666667,6.7,0
Mar 2014,3,150,234,,0.1,5,7.8,0
Feb 2014,4,139,245,3,0.133333333,4.633333333,8.166666667,0.1
Jan 2014,9,135,295,,0.3,4.5,9.833333333,0
Dec 2013,3,117,273,,0.1,3.9,9.1,0
Nov 2013,3,114,219,3,0.1,3.8,7.3,0.1
Oct 2013,6,122,220,,0.2,4.066666667,7.333333333,0
Sep 2013,17,122,244,,0.566666667,4.066666667,8.133333333,0
Aug 2013,9,130,236,,0.3,4.333333333,7.866666667,0
Jul 2013,8,129,236,,0.266666667,4.3,7.866666667,0
